Transaction Amount,Payment Method,Product Category,Quantity,Customer Age,Device Used,Is Fraudulent,Account Age Days,Transaction Hour,Shipping Billing Same
121.4,PayPal,health & beauty,3,23,desktop,0,326,5,1
20.69,credit card,electronics,5,20,mobile,0,140,6,1
684.53,credit card,toys & games,1,45,desktop,0,11,17,1
204.11,PayPal,electronics,5,53,desktop,0,50,9,1
182.33,credit card,clothing,5,17,desktop,0,72,10,1
580.23,PayPal,toys & games,4,39,mobile,0,320,4,1
244.49,PayPal,electronics,1,25,tablet,0,232,17,1
81.69,bank transfer,electronics,1,28,desktop,0,123,0,1
319.55,debit card,electronics,2,35,mobile,0,151,20,1
28.47,PayPal,electronics,4,38,tablet,0,238,14,1
202.63,debit card,home & garden,2,5,tablet,0,312,15,1
36.72,PayPal,health & beauty,4,29,tablet,0,247,21,1
18.97,bank transfer,electronics,5,18,desktop,0,354,14,1
34.14,credit card,clothing,2,27,desktop,0,342,12,1
127.81,PayPal,toys & games,4,23,mobile,0,27,8,1
12.68,bank transfer,clothing,2,24,desktop,0,289,11,1
20.87,credit card,home & garden,4,29,mobile,0,287,20,1
298.15,debit card,health & beauty,2,17,desktop,0,150,22,1
559.8,credit card,toys & games,5,17,tablet,0,148,1,1
118.61,bank transfer,clothing,1,38,desktop,0,290,18,1
50.89,debit card,clothing,2,40,tablet,0,313,22,1
176.5,credit card,clothing,5,30,desktop,0,306,12,1
103.02,bank transfer,electronics,1,38,tablet,0,254,3,1
444.18,bank transfer,electronics,5,39,desktop,0,284,3,1
34.22,credit card,home & garden,2,37,desktop,0,120,20,1
901.7,credit card,clothing,4,40,mobile,1,18,21,1
25.19,bank transfer,toys & games,4,20,mobile,0,278,1,1
289.79,bank transfer,clothing,2,21,mobile,0,126,10,1
469.0,bank transfer,health & beauty,1,39,mobile,0,1,6,1
369.63,PayPal,toys & games,1,44,mobile,0,337,15,1
569.49,debit card,electronics,3,36,tablet,0,192,18,1
276.75,bank transfer,home & garden,4,31,tablet,0,311,14,0
175.53,debit card,health & beauty,2,40,tablet,0,108,23,1
92.27,bank transfer,electronics,4,28,desktop,0,312,14,1
281.33,credit card,electronics,4,38,mobile,0,314,17,1
56.42,credit card,health & beauty,3,32,tablet,0,346,14,1
106.93,bank transfer,health & beauty,2,34,desktop,0,325,0,1
199.08,credit card,home & garden,1,40,mobile,0,264,3,1
626.24,credit card,clothing,5,32,mobile,0,251,1,1
245.94,bank transfer,health & beauty,5,44,mobile,0,157,11,0
257.97,credit card,health & beauty,1,25,desktop,0,51,23,1
89.93,debit card,health & beauty,4,21,desktop,0,48,6,1
186.7,PayPal,health & beauty,3,35,tablet,0,207,3,1
83.14,PayPal,toys & games,2,34,desktop,0,77,6,1
22.45,PayPal,clothing,3,44,mobile,0,153,12,1
285.46,bank transfer,health & beauty,3,37,tablet,0,150,14,1
35.49,PayPal,health & beauty,5,27,desktop,0,134,22,1
590.96,credit card,home & garden,3,46,mobile,0,37,3,1
53.59,debit card,clothing,3,35,mobile,0,360,17,0
190.28,bank transfer,health & beauty,2,40,desktop,0,61,2,0
132.45,PayPal,electronics,1,34,desktop,0,47,5,1
33.86,bank transfer,electronics,1,33,desktop,1,292,3,1
170.4,credit card,home & garden,3,23,desktop,0,317,6,1
86.47,debit card,health & beauty,4,28,tablet,0,4,1,1
635.84,PayPal,toys & games,3,50,desktop,0,61,17,1
69.17,PayPal,electronics,2,39,desktop,0,103,12,0
326.04,PayPal,electronics,2,40,desktop,0,118,12,1
75.54,debit card,health & beauty,4,34,tablet,0,33,4,0
94.85,PayPal,health & beauty,1,28,tablet,0,242,18,0
52.32,debit card,health & beauty,4,19,desktop,0,281,12,1
4465.45,bank transfer,health & beauty,2,32,desktop,1,7,9,1
75.72,debit card,clothing,5,50,desktop,0,16,20,1
85.2,PayPal,clothing,2,43,tablet,0,71,11,1
177.83,PayPal,clothing,5,34,mobile,0,326,15,1
2034.95,credit card,health & beauty,3,41,mobile,1,6,7,1
115.29,debit card,health & beauty,4,40,tablet,0,47,7,1
87.75,credit card,toys & games,3,28,mobile,0,73,16,1
585.27,credit card,electronics,5,39,desktop,0,40,7,1
392.21,debit card,home & garden,3,40,tablet,0,161,20,1
309.08,PayPal,toys & games,2,44,mobile,0,43,9,0
56.07,credit card,health & beauty,2,30,mobile,0,2,23,1
172.8,bank transfer,health & beauty,4,33,mobile,0,142,10,1
361.98,PayPal,clothing,1,35,mobile,0,347,21,1
366.83,credit card,clothing,1,27,desktop,0,119,2,1
232.21,credit card,electronics,4,30,tablet,0,8,12,1
114.08,credit card,home & garden,4,41,mobile,0,258,21,0
69.27,bank transfer,toys & games,1,36,desktop,0,175,3,1
129.29,bank transfer,clothing,3,36,tablet,0,216,2,1
91.12,debit card,clothing,3,34,tablet,0,337,4,1
293.75,PayPal,home & garden,4,46,tablet,1,148,16,1
247.22,debit card,electronics,4,40,tablet,0,121,8,1
238.57,debit card,clothing,3,23,tablet,0,357,20,1
69.45,PayPal,home & garden,5,47,desktop,0,143,7,1
348.41,credit card,toys & games,1,28,tablet,0,321,2,1
39.6,credit card,toys & games,4,32,mobile,0,29,0,1
52.33,credit card,clothing,5,25,desktop,0,250,0,1
238.02,credit card,home & garden,3,39,desktop,0,65,11,1
119.48,debit card,home & garden,1,28,mobile,0,228,5,1
165.0,debit card,electronics,1,53,desktop,0,62,0,1
98.23,credit card,clothing,3,39,mobile,0,340,23,1
27.35,PayPal,clothing,4,26,mobile,0,228,1,1
107.62,PayPal,home & garden,4,30,mobile,0,6,18,1
15.88,PayPal,home & garden,3,44,desktop,0,346,16,1
89.43,debit card,toys & games,5,32,mobile,0,334,17,1
244.18,bank transfer,clothing,3,39,mobile,0,98,19,1
109.21,debit card,electronics,2,28,tablet,0,192,13,1
66.87,PayPal,clothing,3,32,tablet,0,201,6,1
252.91,PayPal,clothing,1,33,tablet,0,105,6,0
151.75,PayPal,home & garden,5,20,mobile,0,228,11,1
51.04,PayPal,electronics,2,37,tablet,0,299,2,1
54.1,debit card,toys & games,3,43,desktop,0,78,22,1
308.38,debit card,home & garden,5,24,tablet,0,86,3,1
108.5,bank transfer,home & garden,4,46,tablet,1,23,0,1
83.48,PayPal,health & beauty,3,22,tablet,0,194,3,1
301.63,PayPal,home & garden,3,32,desktop,0,288,14,1
23.74,debit card,health & beauty,3,36,mobile,0,81,19,1
81.6,debit card,clothing,4,15,desktop,0,104,8,1
157.38,debit card,clothing,2,46,desktop,0,233,5,0
168.11,bank transfer,home & garden,1,50,desktop,0,81,0,1
165.38,debit card,health & beauty,4,38,tablet,0,358,14,1
284.39,bank transfer,health & beauty,1,36,mobile,0,212,13,1
381.81,debit card,electronics,4,51,tablet,0,105,13,1
334.72,PayPal,home & garden,2,26,mobile,0,39,11,1
27.91,debit card,health & beauty,5,27,desktop,0,307,20,1
460.8,bank transfer,home & garden,5,40,desktop,1,3,4,1
83.98,bank transfer,clothing,2,47,tablet,0,16,14,1
149.98,debit card,electronics,3,41,mobile,0,142,11,1
91.49,debit card,home & garden,3,32,desktop,0,69,20,1
740.56,debit card,clothing,2,41,tablet,0,270,15,1
148.8,bank transfer,home & garden,4,36,desktop,0,43,9,1
308.97,PayPal,home & garden,3,29,tablet,0,87,3,1
229.49,credit card,toys & games,4,41,desktop,0,135,14,1
235.23,bank transfer,electronics,4,36,tablet,0,194,4,0
308.25,credit card,electronics,4,30,tablet,0,71,22,0
146.86,bank transfer,electronics,3,40,desktop,0,316,0,1
103.57,debit card,home & garden,3,26,mobile,0,286,10,1
59.87,debit card,home & garden,4,41,desktop,0,236,22,0
369.01,credit card,electronics,5,48,desktop,0,106,22,1
34.97,credit card,health & beauty,2,34,tablet,0,332,0,1
435.74,bank transfer,toys & games,1,48,mobile,0,337,12,1
68.48,credit card,electronics,5,31,tablet,0,135,8,1
116.04,credit card,electronics,3,25,mobile,0,91,1,1
364.13,debit card,electronics,2,31,mobile,0,290,23,1
76.88,PayPal,home & garden,4,48,tablet,0,126,18,1
63.45,PayPal,electronics,5,31,desktop,0,256,22,1
96.83,bank transfer,toys & games,2,39,mobile,0,15,2,1
187.35,bank transfer,toys & games,4,42,mobile,0,154,19,1
239.11,PayPal,clothing,5,46,desktop,0,157,12,1
46.92,credit card,toys & games,1,40,mobile,0,145,0,1
10.33,bank transfer,electronics,1,24,desktop,0,212,14,1
54.94,credit card,health & beauty,5,26,desktop,0,207,13,1
148.83,debit card,home & garden,3,34,desktop,0,316,13,1
65.98,credit card,toys & games,2,35,tablet,0,298,7,1
15.38,credit card,clothing,4,29,desktop,0,271,1,1
265.64,bank transfer,health & beauty,5,33,tablet,0,4,11,1
51.32,PayPal,toys & games,1,37,tablet,0,221,18,1
42.99,bank transfer,home & garden,1,33,desktop,0,214,13,1
134.38,credit card,home & garden,5,43,tablet,0,71,18,1
107.35,PayPal,clothing,3,27,mobile,0,250,12,1
188.49,bank transfer,home & garden,5,33,mobile,0,248,3,1
43.53,debit card,electronics,3,22,desktop,0,348,3,0
25.31,bank transfer,electronics,2,16,desktop,0,84,0,0
1742.0500000000002,bank transfer,home & garden,4,34,mobile,1,12,19,1
188.57,debit card,health & beauty,2,26,desktop,0,308,10,1
63.05,bank transfer,toys & games,4,25,desktop,0,336,7,1
420.28,debit card,clothing,4,35,mobile,0,202,7,1
282.86,debit card,home & garden,5,11,mobile,0,235,10,1
104.43,debit card,clothing,2,41,mobile,0,11,11,1
52.71,debit card,clothing,1,35,desktop,0,231,21,1
168.21,bank transfer,home & garden,1,32,tablet,0,73,10,1
174.03,credit card,health & beauty,3,40,mobile,0,66,20,0
249.89,debit card,clothing,2,28,tablet,0,11,14,1
19.93,credit card,health & beauty,5,26,mobile,0,45,0,1
147.8,PayPal,toys & games,3,33,mobile,0,3,11,1
285.83,debit card,health & beauty,2,65,mobile,0,10,19,1
137.79,PayPal,health & beauty,5,32,tablet,0,185,23,1
92.05,PayPal,toys & games,1,40,desktop,0,194,19,1
95.63,bank transfer,health & beauty,3,40,mobile,0,72,17,0
130.52,bank transfer,home & garden,1,45,mobile,0,163,8,1
76.39,debit card,clothing,2,32,mobile,0,165,19,1
1072.33,bank transfer,electronics,3,24,desktop,0,79,19,1
13.15,credit card,toys & games,3,36,mobile,0,281,21,1
325.27,debit card,clothing,3,42,tablet,0,38,3,1
22.65,debit card,electronics,5,35,mobile,0,168,15,1
67.96,credit card,health & beauty,2,33,tablet,0,66,5,0
90.76,credit card,toys & games,3,42,mobile,0,64,12,0
289.38,PayPal,electronics,3,14,desktop,0,322,11,0
522.51,credit card,health & beauty,1,13,tablet,0,3,15,0
23.82,debit card,electronics,5,37,tablet,0,152,18,1
222.49,PayPal,health & beauty,5,31,desktop,0,23,8,1
51.0,credit card,toys & games,2,38,tablet,1,322,4,1
99.58,credit card,home & garden,3,30,mobile,0,279,7,1
84.52,PayPal,health & beauty,5,42,mobile,0,186,7,1
106.29,debit card,electronics,4,28,desktop,0,291,22,1
428.04,debit card,home & garden,3,52,mobile,0,303,9,1
58.84,debit card,health & beauty,4,31,desktop,0,267,1,1
194.62,credit card,home & garden,5,37,desktop,0,325,13,1
332.75,bank transfer,clothing,2,36,desktop,0,294,14,1
290.9,bank transfer,electronics,2,40,desktop,0,31,13,1
96.01,bank transfer,health & beauty,2,33,tablet,0,323,3,1
212.77,credit card,home & garden,4,48,mobile,0,348,19,1
419.42,bank transfer,clothing,3,19,mobile,0,274,15,1
73.81,credit card,home & garden,5,50,desktop,0,123,23,1
19.19,bank transfer,clothing,3,35,desktop,0,50,0,0
167.27,bank transfer,home & garden,2,25,mobile,1,325,0,1
211.3,credit card,health & beauty,2,37,mobile,0,253,20,1
265.56,credit card,electronics,5,36,desktop,0,218,7,0
360.49,bank transfer,health & beauty,2,25,tablet,0,304,6,1
219.68,debit card,health & beauty,5,32,desktop,0,172,18,1
109.41,credit card,health & beauty,4,20,desktop,0,239,22,1
225.78,PayPal,health & beauty,4,35,mobile,1,267,2,1
77.23,credit card,home & garden,1,23,desktop,0,350,7,1
240.78,bank transfer,toys & games,3,41,tablet,0,116,13,1
738.91,debit card,electronics,1,36,mobile,0,169,15,1
57.59,bank transfer,toys & games,2,30,mobile,0,320,13,1
28.92,credit card,electronics,5,29,tablet,0,129,0,1
145.39,credit card,electronics,5,33,tablet,0,27,4,1
207.44,credit card,clothing,5,33,desktop,0,141,5,1
177.69,credit card,electronics,1,36,tablet,0,18,23,1
199.22,bank transfer,health & beauty,4,49,mobile,0,81,17,1
68.08,PayPal,clothing,2,39,mobile,0,74,9,1
31.14,bank transfer,home & garden,3,38,mobile,0,98,3,1
188.31,bank transfer,home & garden,1,31,desktop,0,71,23,1
59.11,PayPal,electronics,5,38,tablet,0,61,2,1
754.31,debit card,clothing,4,48,mobile,0,112,13,1
162.54,debit card,home & garden,3,37,tablet,0,179,17,1
48.97,credit card,clothing,1,17,desktop,0,204,23,1
87.21,credit card,toys & games,2,21,tablet,0,359,20,1
62.43,bank transfer,electronics,3,32,desktop,0,142,18,0
98.13,debit card,health & beauty,3,40,desktop,0,307,19,1
87.53,bank transfer,health & beauty,4,46,mobile,1,330,2,1
146.32,debit card,home & garden,3,25,tablet,0,201,0,1
67.11,credit card,electronics,1,43,desktop,0,117,9,1
746.96,credit card,electronics,5,24,mobile,0,58,4,0
45.78,credit card,electronics,5,40,mobile,0,225,3,1
58.15,debit card,health & beauty,4,25,tablet,0,99,10,1
684.51,debit card,electronics,3,24,tablet,0,263,22,0
350.77,debit card,home & garden,1,38,mobile,0,272,4,1
249.46,debit card,health & beauty,1,20,tablet,0,281,10,1
365.64,debit card,clothing,1,12,desktop,0,39,20,1
369.53,bank transfer,clothing,2,39,mobile,0,73,0,1
58.78,debit card,toys & games,2,26,tablet,0,197,20,1
79.86,bank transfer,electronics,2,57,tablet,0,205,11,1
105.63,credit card,health & beauty,2,9,tablet,0,107,21,1
383.16,PayPal,toys & games,3,37,tablet,0,345,17,1
88.19,bank transfer,clothing,4,28,mobile,0,279,15,1
156.88,PayPal,clothing,4,41,mobile,0,196,12,1
30.59,PayPal,home & garden,3,29,desktop,0,53,15,1
112.58,bank transfer,home & garden,2,44,mobile,0,325,14,1
63.41,PayPal,home & garden,2,28,mobile,0,237,20,1
179.95,bank transfer,home & garden,3,42,tablet,0,27,19,1
111.45,credit card,electronics,4,27,mobile,0,134,9,1
122.1,debit card,toys & games,4,15,tablet,0,360,4,1
103.42,bank transfer,toys & games,1,39,mobile,0,221,12,1
145.14,credit card,toys & games,5,28,desktop,0,341,19,1
450.74,PayPal,home & garden,5,28,tablet,0,334,8,0
318.44,debit card,clothing,4,40,mobile,0,300,21,0
1066.85,credit card,home & garden,5,52,mobile,0,16,19,1
38.61,credit card,home & garden,1,39,tablet,1,26,0,1
18.87,bank transfer,clothing,4,49,mobile,0,316,8,1
67.42,PayPal,toys & games,5,29,tablet,0,63,18,1
39.58,credit card,toys & games,4,24,desktop,0,125,5,1
428.96,debit card,electronics,4,31,mobile,0,22,0,0
412.96,debit card,home & garden,1,28,tablet,0,170,6,1
230.84,bank transfer,toys & games,1,31,tablet,0,222,16,1
262.76,credit card,toys & games,2,37,tablet,0,24,0,1
923.0,bank transfer,toys & games,5,34,mobile,0,77,4,1
60.63,credit card,toys & games,3,35,tablet,0,12,23,0
74.76,debit card,home & garden,4,49,mobile,0,114,17,1
184.86,bank transfer,electronics,1,7,desktop,0,42,5,1
858.32,debit card,home & garden,5,42,tablet,0,163,12,0
115.14,credit card,electronics,3,33,desktop,0,14,21,1
132.05,credit card,toys & games,3,41,tablet,0,222,11,1
41.81,credit card,health & beauty,1,23,tablet,0,359,18,1
63.43,bank transfer,health & beauty,3,17,desktop,0,190,1,1
57.72,debit card,home & garden,5,52,tablet,0,209,21,1
217.99,debit card,clothing,3,29,mobile,0,107,7,1
755.3,debit card,toys & games,5,34,desktop,1,2,8,1
77.13,bank transfer,home & garden,3,32,mobile,0,159,19,0
164.46,credit card,electronics,5,57,tablet,0,98,10,1
205.21,PayPal,electronics,4,37,mobile,0,47,1,1
173.05,debit card,health & beauty,2,53,desktop,0,352,1,1
214.47,PayPal,electronics,3,30,desktop,0,177,12,1
672.43,PayPal,clothing,1,15,tablet,0,42,10,0
504.91,bank transfer,home & garden,2,25,desktop,0,336,19,1
73.79,PayPal,home & garden,3,32,mobile,0,304,14,1
234.02,credit card,home & garden,4,40,desktop,0,217,14,1
32.97,credit card,health & beauty,5,37,desktop,0,223,18,1
68.68,debit card,clothing,1,36,mobile,0,252,23,0
367.76,PayPal,electronics,5,9,desktop,0,241,8,1
15.72,debit card,home & garden,1,47,desktop,0,212,18,1
18.07,PayPal,electronics,3,50,tablet,0,46,21,1
59.42,bank transfer,electronics,4,47,desktop,0,51,8,1
74.87,credit card,health & beauty,4,33,mobile,0,4,7,1
206.0,PayPal,health & beauty,2,9,mobile,0,261,18,1
132.26,bank transfer,electronics,4,42,tablet,1,12,2,1
71.19,debit card,toys & games,4,35,tablet,0,304,4,1
149.21,credit card,toys & games,5,33,mobile,0,229,3,1
118.43,debit card,toys & games,2,26,mobile,0,190,4,1
82.66,bank transfer,health & beauty,3,52,desktop,0,283,7,1
359.58,PayPal,electronics,3,50,desktop,1,10,7,1
12.88,PayPal,electronics,3,35,desktop,0,202,15,1
233.21,credit card,health & beauty,1,42,tablet,0,52,14,1
197.05,PayPal,health & beauty,2,41,tablet,0,50,3,1
48.38,bank transfer,home & garden,5,40,desktop,0,75,2,1
181.86,debit card,health & beauty,3,50,desktop,0,112,7,1
325.13,bank transfer,toys & games,1,9,mobile,0,151,23,1
689.03,bank transfer,health & beauty,3,28,mobile,0,214,23,0
361.04,PayPal,electronics,2,34,mobile,0,22,13,1
55.78,credit card,home & garden,4,24,desktop,0,127,8,1
19.92,credit card,health & beauty,1,16,tablet,0,117,10,1
178.43,credit card,health & beauty,4,32,desktop,0,34,19,1
226.02,PayPal,electronics,1,26,tablet,0,195,9,1
30.49,bank transfer,toys & games,4,31,tablet,0,273,23,1
359.26,credit card,toys & games,5,34,mobile,0,203,16,1
75.96,debit card,home & garden,2,42,mobile,0,72,20,1
49.68,PayPal,toys & games,1,41,mobile,0,56,10,1
113.17,credit card,clothing,3,48,mobile,0,73,21,1
215.07,credit card,home & garden,3,31,desktop,0,113,7,1
321.83,credit card,toys & games,2,35,desktop,0,69,4,1
174.17,credit card,clothing,1,42,tablet,0,353,7,1
312.93,credit card,home & garden,1,26,tablet,0,173,16,1
340.52,bank transfer,electronics,1,46,desktop,0,348,16,1
286.14,bank transfer,electronics,3,41,mobile,0,136,3,0
370.7,credit card,electronics,2,36,mobile,0,148,16,1
100.26,PayPal,toys & games,4,33,desktop,0,18,4,0
59.95,debit card,home & garden,5,33,desktop,0,204,16,1
266.98,credit card,clothing,2,11,mobile,0,350,12,1
46.93,bank transfer,clothing,1,27,desktop,0,147,22,1
49.45,debit card,toys & games,5,42,desktop,0,277,17,1
253.78,PayPal,clothing,1,33,tablet,0,269,14,1
276.35,debit card,electronics,4,50,desktop,0,200,4,1
20.79,credit card,clothing,5,26,mobile,0,178,12,1
142.82,PayPal,home & garden,4,29,mobile,0,138,12,1
333.43,PayPal,clothing,2,41,tablet,0,31,14,1
13.54,PayPal,clothing,3,47,desktop,0,358,5,1
576.99,debit card,toys & games,5,53,desktop,0,65,18,1
61.82,credit card,clothing,2,29,tablet,0,196,8,1
393.42,PayPal,electronics,4,42,mobile,1,10,16,1
299.09,bank transfer,health & beauty,5,42,tablet,0,261,21,1
56.01,PayPal,health & beauty,2,49,desktop,0,111,6,1
10.03,credit card,toys & games,3,25,desktop,0,127,11,1
300.79,PayPal,toys & games,2,39,mobile,0,183,0,1
67.85,PayPal,clothing,3,38,mobile,0,337,23,1
44.21,PayPal,home & garden,1,35,tablet,0,45,8,1
58.59,bank transfer,clothing,2,39,desktop,0,208,16,1
190.51,credit card,health & beauty,4,33,desktop,0,166,23,1
35.08,credit card,home & garden,3,37,desktop,0,235,8,1
126.93,credit card,home & garden,3,37,mobile,0,236,17,1
62.25,credit card,clothing,5,26,desktop,0,55,9,1
106.56,debit card,toys & games,5,28,desktop,0,150,21,1
372.97,bank transfer,toys & games,5,16,tablet,0,223,23,1
120.59,credit card,home & garden,3,38,mobile,0,76,5,1
173.31,credit card,clothing,1,26,tablet,0,12,8,1
25.37,credit card,electronics,1,51,tablet,0,114,0,1
286.82,bank transfer,home & garden,3,48,tablet,0,123,13,1
180.31,debit card,home & garden,5,30,mobile,0,24,0,1
17.86,PayPal,electronics,1,42,mobile,0,74,22,1
296.42,credit card,clothing,2,54,tablet,0,35,6,1
102.06,bank transfer,electronics,5,29,tablet,0,54,7,1
52.66,debit card,electronics,4,30,tablet,0,88,20,1
37.59,PayPal,electronics,4,46,tablet,0,138,1,1
2574.55,debit card,electronics,1,26,tablet,1,78,7,1
177.53,credit card,clothing,4,33,tablet,0,293,13,1
119.85,credit card,electronics,2,35,desktop,0,319,18,1
539.96,debit card,clothing,2,37,mobile,0,261,15,1
142.13,credit card,health & beauty,5,32,desktop,0,333,19,1
31.71,debit card,home & garden,2,48,tablet,0,288,12,1
170.49,credit card,home & garden,1,35,desktop,0,362,13,1
197.0,debit card,toys & games,3,37,mobile,0,89,1,1
59.23,bank transfer,health & beauty,5,41,tablet,0,173,0,1
176.47,credit card,electronics,1,38,desktop,0,113,12,1
183.53,debit card,home & garden,3,40,mobile,0,233,15,1
159.56,credit card,toys & games,5,40,desktop,0,69,18,1
49.02,credit card,health & beauty,3,33,tablet,0,319,16,1
307.42,debit card,home & garden,2,53,desktop,0,155,7,1
297.55,debit card,clothing,4,38,desktop,0,142,19,1
122.52,debit card,health & beauty,1,44,desktop,0,253,3,1
503.46,credit card,health & beauty,1,54,desktop,0,176,10,1
25.2,PayPal,toys & games,2,44,mobile,0,260,15,1
436.3,bank transfer,clothing,3,35,mobile,0,279,9,1
134.91,PayPal,clothing,2,22,mobile,0,13,10,1
136.76,PayPal,electronics,5,24,desktop,0,348,18,1
61.38,PayPal,home & garden,4,23,tablet,0,138,8,1
320.89,credit card,clothing,5,43,desktop,1,210,10,1
107.25,bank transfer,clothing,3,29,mobile,0,44,9,1
596.26,debit card,health & beauty,1,49,tablet,0,248,4,1
68.42,PayPal,clothing,1,41,tablet,0,312,18,1
180.94,PayPal,health & beauty,2,33,mobile,0,200,14,1
43.07,PayPal,clothing,3,32,desktop,0,238,23,1
374.22,bank transfer,home & garden,4,33,tablet,0,204,4,1
137.22,PayPal,clothing,1,42,mobile,0,8,16,1
151.32,credit card,electronics,4,32,tablet,0,6,17,1
333.23,credit card,clothing,2,47,desktop,0,97,21,1
193.78,credit card,toys & games,4,55,mobile,0,110,23,1
74.24,PayPal,clothing,5,33,tablet,0,203,23,1
807.2,credit card,toys & games,2,36,desktop,0,68,9,1
135.61,bank transfer,health & beauty,1,43,tablet,0,64,1,1
17.4,bank transfer,toys & games,2,51,desktop,0,216,4,0
94.73,bank transfer,clothing,3,26,desktop,0,222,5,1
168.52,PayPal,home & garden,1,27,tablet,0,331,20,1
99.79,bank transfer,clothing,1,39,tablet,0,163,8,0
74.6,credit card,clothing,1,41,desktop,0,207,7,1
150.03,debit card,home & garden,5,39,mobile,0,86,15,1
153.73,PayPal,clothing,1,33,mobile,0,266,9,1
237.54,bank transfer,toys & games,5,24,tablet,0,210,21,1
93.32,bank transfer,electronics,1,49,tablet,0,283,8,1
151.22,bank transfer,clothing,1,29,desktop,0,87,16,1
403.67,debit card,home & garden,2,19,tablet,0,126,3,1
404.68,debit card,toys & games,5,37,tablet,1,4,6,1
16.82,credit card,electronics,5,32,mobile,0,308,14,1
579.7,PayPal,health & beauty,1,24,desktop,0,45,11,1
38.08,bank transfer,toys & games,3,20,desktop,0,351,4,1
290.66,credit card,toys & games,1,23,mobile,0,289,16,1
184.01,PayPal,toys & games,5,41,mobile,0,35,20,1
221.91,bank transfer,clothing,5,27,tablet,1,20,15,1
35.56,credit card,health & beauty,2,41,desktop,0,124,10,1
90.72,bank transfer,health & beauty,5,47,tablet,0,78,2,1
435.86,credit card,home & garden,2,20,desktop,0,336,8,1
14.87,bank transfer,electronics,5,24,tablet,0,44,0,1
107.08,credit card,clothing,4,35,tablet,0,65,17,1
233.73,bank transfer,health & beauty,1,45,mobile,0,199,19,1
144.85,PayPal,toys & games,1,38,tablet,0,191,9,1
19.43,PayPal,home & garden,5,43,mobile,0,74,21,1
63.72,credit card,electronics,4,48,tablet,0,3,12,1
1058.62,bank transfer,home & garden,5,28,mobile,0,1,17,1
17.82,PayPal,clothing,2,32,desktop,0,71,16,1
20.5,credit card,toys & games,3,40,mobile,0,106,22,1
62.93,bank transfer,home & garden,1,33,mobile,0,311,5,1
44.79,PayPal,toys & games,2,37,mobile,0,2,16,1
88.19,credit card,toys & games,4,29,tablet,0,147,21,1
173.06,debit card,electronics,4,29,desktop,0,357,18,1
60.16,PayPal,home & garden,5,30,tablet,0,259,20,1
224.28,bank transfer,toys & games,2,33,tablet,0,167,21,1
140.56,PayPal,clothing,1,35,desktop,0,27,2,1
11.33,credit card,health & beauty,3,51,tablet,0,54,9,0
221.71,credit card,toys & games,5,38,desktop,0,144,8,0
177.66,bank transfer,clothing,5,25,tablet,0,129,22,1
254.43,debit card,health & beauty,3,29,tablet,0,21,8,0
66.57,bank transfer,home & garden,2,48,mobile,0,10,2,1
119.36,PayPal,clothing,2,21,tablet,0,127,6,1
44.91,PayPal,toys & games,5,29,desktop,0,302,4,1
413.57,PayPal,clothing,3,22,desktop,0,362,13,1
13.93,bank transfer,electronics,5,50,tablet,0,300,12,1
107.82,PayPal,electronics,4,22,desktop,0,75,11,1
533.88,bank transfer,home & garden,2,35,tablet,0,156,13,1
68.44,PayPal,health & beauty,2,32,mobile,0,4,1,1
37.87,PayPal,clothing,4,55,tablet,0,16,11,1
143.46,PayPal,electronics,1,30,mobile,0,222,5,1
27.48,bank transfer,toys & games,3,21,tablet,0,195,15,1
571.76,bank transfer,health & beauty,5,31,desktop,0,55,14,1
315.2,bank transfer,health & beauty,2,33,mobile,0,291,9,1
289.04,PayPal,home & garden,1,45,tablet,0,73,20,1
252.8,bank transfer,clothing,4,27,mobile,1,21,3,1
166.9,PayPal,clothing,1,23,mobile,0,318,14,1
81.54,debit card,health & beauty,3,19,tablet,0,202,3,1
710.46,debit card,electronics,4,32,desktop,0,92,18,1
107.16,debit card,electronics,2,21,tablet,0,354,17,1
96.88,credit card,clothing,4,37,mobile,0,228,19,1
208.0,debit card,home & garden,4,29,desktop,0,31,18,1
117.28,PayPal,electronics,5,30,tablet,1,341,11,1
96.49,bank transfer,health & beauty,3,28,mobile,0,279,17,1
12.86,credit card,toys & games,2,52,mobile,0,337,6,1
300.9,bank transfer,electronics,5,36,tablet,0,227,20,1
144.58,debit card,health & beauty,5,42,tablet,0,123,12,1
91.72,PayPal,toys & games,2,37,mobile,0,2,15,1
182.29,credit card,clothing,1,30,desktop,0,208,15,1
81.83,bank transfer,toys & games,1,29,mobile,0,306,18,1
23.96,PayPal,clothing,1,20,desktop,0,267,7,1
280.62,credit card,toys & games,1,41,desktop,0,75,10,1
39.93,PayPal,home & garden,5,41,tablet,0,248,20,1
220.26,PayPal,clothing,5,45,desktop,0,283,11,1
150.55,debit card,electronics,4,30,mobile,0,306,15,0
51.16,bank transfer,health & beauty,1,35,mobile,0,165,10,1
32.99,bank transfer,health & beauty,4,35,tablet,0,213,17,0
152.71,credit card,toys & games,5,32,mobile,0,300,2,1
125.44,bank transfer,toys & games,4,48,desktop,0,355,9,0
248.6,bank transfer,home & garden,3,34,mobile,1,283,2,1
511.18,PayPal,health & beauty,2,40,tablet,0,60,17,1
105.92,bank transfer,health & beauty,4,38,tablet,0,199,4,1
406.08,PayPal,clothing,4,41,mobile,0,251,17,0
